Date,Predicted_LSTM,Real,Predicted_Transformer,Predicted_ARIMA,Predicted_Null
2023-03-30,266.84006,273.829987,274.829987,,
2023-03-31,267.25565,277.769989,278.769989,273.21105315669547,273.829987
2023-04-03,269.62057,279.649994,280.649994,273.29646946696465,277.769989
2023-04-04,278.11157,274.529999,275.529999,271.95136635230995,279.649994
2023-04-05,275.16833,268.809998,269.6671198340936,274.98922789749344,274.529999
2023-04-06,274.08926,270.369995,271.22916014687934,277.81164181488674,268.809998
2023-04-10,276.70587,275.790009,276.648859364044,269.6419449030486,270.369995
2023-04-11,277.5624,271.690002,272.547087919671,267.8693205970254,275.790009
2023-04-12,276.08173,264.950012,265.80127652053017,267.42838672934306,271.690002
2023-04-13,272.85138,264.630005,265.4760689617725,269.3471735743128,264.950012
2023-04-14,271.33688,267.579987,268.42535154390794,270.22019404142765,264.630005
2023-04-17,272.28345,270.019989,270.8646787699633,264.67261488073893,267.579987
2023-04-18,272.2016,276.670013,277.5095622438321,264.10518712921896,270.019989
2023-04-19,268.71716,279.309998,280.1491450603193,264.74806726938175,276.670013
2023-04-20,266.67047,271.040009,271.88578616829454,265.38818946876995,279.309998
2023-04-21,268.4898,271.190002,272.0409940939862,265.28894694992135,271.040009
2023-04-24,271.68094,270.420013,271.27471110660457,271.191254440964,271.190002
2023-04-25,274.45956,262.410004,263.2670904305342,272.5357072562589,270.420013
2023-04-26,276.57245,269.559998,270.41077972065176,273.747917280393,262.410004
2023-04-27,274.99234,272.26001,273.10327593757614,275.1388594463558,269.559998
2023-04-28,270.8793,277.48999,278.3330094357221,274.3984306300456,272.26001
2023-05-01,269.95792,289.100006,289.9443644984784,269.9504880239525,277.48999
2023-05-02,268.90298,282.100006,282.950309908015,270.15239417518126,289.100006
2023-05-03,268.85898,278.019989,278.8827696988974,270.86729690090476,282.100006
2023-05-04,274.46198,275.619995,276.4894246168151,271.742582984946,278.019989
2023-05-05,278.54706,286.799988,287.674338311286,272.43021147631487,275.619995
2023-05-08,282.54587,291.51001,292.3904336176973,276.1863508157074,286.799988
2023-05-09,284.73694,285.709991,286.58792583582,277.494503683468,291.51001
2023-05-10,281.204,288.850006,289.7288070460663,277.96020657493557,285.709991
2023-05-11,281.03168,285.779999,286.6647285405294,277.6113825403202,288.850006
2023-05-12,283.767,283.399994,284.29381156429406,276.80941296794356,285.779999
2023-05-15,289.0633,289.529999,290.4233347624086,285.99494139289715,283.399994
2023-05-16,289.57764,292.130005,293.0204030697095,288.6950353000791,289.529999
2023-05-17,287.44604,301.779999,302.67351070769126,289.53285475683805,292.130005
2023-05-18,288.03317,316.779999,317.67758767817924,288.85147258631105,301.779999
2023-05-19,287.59906,312.640015,313.5507932942737,287.7095050234301,316.779999
2023-05-22,290.1028,311.76001,312.6876837279853,314.8547588499728,312.640015
2023-05-23,296.41946,306.880005,307.8216974200422,315.05569357249243,311.76001
2023-05-24,302.73093,305.380005,306.33503052517125,317.0272381574431,306.880005
2023-05-25,310.35004,379.799988,380.7617036118983,317.3398013440536,305.380005
2023-05-26,314.865,389.459991,390.44386575513386,318.1033482116189,379.799988
2023-05-30,313.74994,401.109985,402.1281115297711,375.19194843509854,389.459991
2023-05-31,318.39227,378.339996,379.4064932147801,364.42060489679716,401.109985
2023-06-01,330.56003,397.700012,398.8242922462929,367.7040953159325,378.339996
2023-06-02,354.37473,393.269989,394.4866984946264,363.30891987215625,397.700012
2023-06-05,389.4617,391.709991,392.9398113809693,368.8252719431247,393.269989
2023-06-06,394.4722,386.540009,387.7733966309365,400.2062910393208,391.709991
2023-06-07,395.7014,374.75,375.9686661017656,401.2837201158112,386.540009
2023-06-08,390.76105,385.100006,386.3248495282471,395.84148735495774,374.75
2023-06-09,396.5916,387.700012,388.91390837781046,392.4643119244795,385.100006
2023-06-12,392.53937,394.820007,396.0277251565355,394.84467061394076,387.700012
2023-06-13,389.1606,410.220001,411.42526837689775,391.0384722534812,394.820007
2023-06-14,385.7465,429.970001,431.1849882403727,390.5945168555819,410.220001
2023-06-15,385.34882,426.529999,427.7819571806124,387.3759881953125,429.970001
2023-06-16,393.68994,426.920013,428.2013349713107,386.2844369704069,426.529999
2023-06-20,401.3888,438.079987,439.3940712602681,388.74923415979623,426.920013
2023-06-21,412.3289,430.450012,431.80171049791625,428.8522571796727,438.079987
2023-06-22,424.45093,430.25,431.6240667080024,430.8528011069828,430.450012
2023-06-23,432.62692,422.089996,423.4637764127821,431.70423687145205,430.25
2023-06-26,432.65063,406.320007,407.6935425204849,430.98086145260373,422.089996
2023-06-27,434.5237,418.76001,420.1248913363346,430.17257201703296,406.320007
2023-06-28,435.7864,411.170013,412.5174810864331,408.05171898970946,418.76001
2023-06-29,429.94836,408.220001,409.55267187162457,410.26640180029176,411.170013
2023-06-30,425.44278,423.019989,424.33329665727626,411.402955805716,408.220001
2023-07-03,418.8029,424.130005,425.43747967752654,410.94608208876,423.019989
2023-07-05,414.5927,423.170013,424.4922190790293,409.372542995342,424.130005
2023-07-06,418.38278,421.029999,422.3521860860464,423.6158682962481,423.170013
2023-07-07,417.06683,425.029999,426.3604709860613,424.9328379891799,421.029999
2023-07-10,420.30676,421.799988,423.1478047805056,425.9002904226646,425.029999
2023-07-11,426.63812,424.049988,425.397407416206,426.5187127890621,421.799988
2023-07-12,426.69742,439.019989,440.36663073427184,426.76740567665195,424.049988
2023-07-13,426.15683,459.769989,461.12482157623657,424.437982201627,439.019989
2023-07-14,426.45074,454.690002,456.0688840451667,424.6760854435561,459.769989
2023-07-17,429.4578,464.609985,466.0086326610058,425.2310700802544,454.690002
2023-07-18,433.2058,474.940002,476.3719929394241,425.67767207559234,464.609985
2023-07-19,442.24258,470.769989,472.2464216370624,426.08628525028183,474.940002
2023-07-20,454.98254,455.200012,456.7081189726901,474.9163886080772,470.769989
2023-07-21,464.82922,443.089996,444.5971551988977,476.56601351597385,455.200012
2023-07-24,466.75916,446.119995,447.6270226881155,477.5076983155129,443.089996
2023-07-25,471.55844,456.790009,458.2867244634775,477.28572683935306,446.119995
2023-07-26,470.82877,454.519989,455.9971624497308,477.38559741549864,456.790009
2023-07-27,462.76477,459.0,460.4568841438089,457.5460147454331,454.519989
