Date,Predicted,Real
2023-11-22,498.485,487.160004
2023-11-24,497.55435,477.76001
2023-11-27,500.78775,482.420013
2023-11-28,501.1476,478.209991
2023-11-29,501.4729,481.399994
2023-11-30,494.45163,467.700012
2023-12-01,487.05804,467.649994
2023-12-04,483.64798,455.100006
2023-12-05,483.72107,465.660004
2023-12-06,480.06378,455.029999
2023-12-07,476.48102,465.959991
2023-12-08,469.06055,475.059998
2023-12-11,466.57306,466.269989
2023-12-12,463.70352,476.570007
2023-12-13,467.5495,480.880005
2023-12-14,467.4945,483.5
2023-12-15,474.2296,488.899994
2023-12-18,477.76953,500.769989
2023-12-19,478.30844,496.040009
2023-12-20,485.19553,481.109985
2023-12-21,489.70038,489.899994
2023-12-22,493.7642,488.299988
2023-12-26,497.61285,492.790009
2023-12-27,499.19272,494.170013
2023-12-28,494.34488,495.220001
2023-12-29,490.83792,495.220001
2024-01-02,495.02133,481.679993
2024-01-03,496.0325,475.690002
2024-01-04,498.16037,479.980011
2024-01-05,497.69577,490.970001
2024-01-08,495.2483,522.530029
2024-01-09,490.79178,531.400024
2024-01-10,485.9127,543.5
2024-01-11,489.7203,548.219971
2024-01-12,501.67874,547.099976
2024-01-16,518.4941,563.820007
2024-01-17,536.9028,560.530029
2024-01-18,545.3896,571.070007
2024-01-19,553.00775,594.909973
2024-01-22,557.66797,596.539978
2024-01-23,563.1109,598.72998
2024-01-24,573.13257,613.619995
2024-01-25,579.40906,616.169983
2024-01-26,591.6636,610.309998
2024-01-29,603.73346,624.650024
2024-01-30,607.80475,627.73999
2024-01-31,613.3904,615.27002
2024-02-01,620.5225,630.27002
2024-02-02,622.37866,661.599976
2024-02-05,624.02924,693.320007
2024-02-06,630.68646,682.22998
2024-02-07,634.58026,700.98999
2024-02-08,641.97577,696.409973
2024-02-09,662.36365,721.330017
2024-02-12,683.6907,722.47998
2024-02-13,696.8098,721.280029
2024-02-14,699.1077,739.0
2024-02-15,709.7544,726.580017
2024-02-16,715.5901,726.130005
2024-02-20,726.7941,694.52002
2024-02-21,728.9416,674.719971
2024-02-22,730.4725,785.380005
